user_name,age_type,gender,life_event,children,years_of_experience,characteristics,desired_income
leslie3858,>60,Male,Getting Married,5,28,Patience;Communication skills,10tr - 30tr
brandon1285,<25,Male,Losing a Job,5,34,Patience;Loving and caring nature,> 50tr
david2374,>60,Female,Getting Married,2,48,Loving and caring nature;Responsibility and Carefulness;Communication skills,< 10tr
shirley8845,30-45,Male,Major Illness/Disability,0,4,Patience;Responsibility and Carefulness,10tr - 30tr
adam2754,<25,Female,Starting a Career,0,2,Patience;Loving and caring nature,> 50tr
shawn6864,>60,Female,Getting Married,3,31,Communication skills;Responsibility and Carefulness;Patience,> 50tr
amy7703,50-60,Female,Retirement,3,4,Responsibility and Carefulness;Communication skills,30tr - 50tr
jeffrey7351,<25,Male,Retirement,5,48,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
timothy1829,<25,Female,Losing a Job,4,0,Patience;Loving and caring nature;Responsibility and Carefulness,> 50tr
kyle9598,<25,Male,Losing a Job,2,7,Responsibility and Carefulness;Patience;Communication skills,< 10tr
erica8054,30-45,Female,Major Illness/Disability,5,47,Patience;Loving and caring nature,10tr - 30tr
monique8284,<25,Female,Starting a Career,4,42,Responsibility and Carefulness;Communication skills;Loving and caring nature,30tr - 50tr
shawn6905,>60,Male,Retirement,4,18,Responsibility and Carefulness;Loving and caring nature;Communication skills,10tr - 30tr
aaron1896,<25,Male,Losing a Job,0,11,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
bobby6611,50-60,Male,Starting a Career,4,29,Patience;Responsibility and Carefulness;Communication skills,< 10tr
jeremy9912,25-30,Male,Major Illness/Disability,0,50,Patience;Responsibility and Carefulness,> 50tr
ryan1670,>60,Female,Getting Married,3,47,Responsibility and Carefulness;Loving and caring nature;Patience,30tr - 50tr
mark6591,>60,Female,Major Illness/Disability,4,23,Loving and caring nature;Responsibility and Carefulness;Patience,10tr - 30tr
abigail8586,>60,Male,Getting Married,5,24,Communication skills;Patience;Loving and caring nature,30tr - 50tr
melissa5999,<25,Male,Major Illness/Disability,2,17,Loving and caring nature;Communication skills,30tr - 50tr
kenneth4408,<25,Female,Getting Married,2,41,Responsibility and Carefulness;Communication skills;Loving and caring nature,30tr - 50tr
rick7180,45-50,Male,Major Illness/Disability,2,42,Patience;Loving and caring nature,30tr - 50tr
yolanda7686,>60,Female,Getting Married,4,38,Responsibility and Carefulness;Communication skills,> 50tr
nicholas9366,>60,Female,Getting Married,2,21,Responsibility and Carefulness;Communication skills;Loving and caring nature,10tr - 30tr
jacob1205,45-50,Male,Major Illness/Disability,4,16,Responsibility and Carefulness;Loving and caring nature;Communication skills,> 50tr
thomas8518,<25,Female,Major Illness/Disability,0,5,Responsibility and Carefulness;Loving and caring nature,> 50tr
kendra9506,25-30,Female,Losing a Job,2,32,Loving and caring nature;Responsibility and Carefulness;Patience,> 50tr
veronica5258,>60,Female,Getting Married,3,46,Communication skills;Responsibility and Carefulness;Patience,> 50tr
alejandro7220,>60,Female,Starting a Career,3,35,Responsibility and Carefulness;Communication skills;Loving and caring nature,10tr - 30tr
gregory4257,>60,Female,Retirement,4,13,Responsibility and Carefulness;Loving and caring nature;Communication skills,30tr - 50tr
brenda3787,30-45,Male,Major Illness/Disability,3,25,Communication skills;Responsibility and Carefulness,> 50tr
lisa6289,<25,Male,Retirement,4,47,Patience;Loving and caring nature;Communication skills,> 50tr
jennifer5438,<25,Male,Major Illness/Disability,2,6,Patience;Responsibility and Carefulness,10tr - 30tr
joshua3438,<25,Male,Retirement,2,16,Communication skills;Loving and caring nature,30tr - 50tr
brooke4325,>60,Female,Major Illness/Disability,4,50,Responsibility and Carefulness;Patience;Communication skills,10tr - 30tr
paul5468,>60,Male,Losing a Job,3,21,Communication skills;Responsibility and Carefulness,< 10tr
daniel4363,>60,Male,Major Illness/Disability,1,33,Loving and caring nature;Patience,10tr - 30tr
amanda7933,<25,Female,Losing a Job,2,32,Communication skills;Loving and caring nature;Patience,> 50tr
sean4575,>60,Male,Retirement,2,40,Loving and caring nature;Communication skills;Patience,10tr - 30tr
lawrence6860,30-45,Male,Starting a Career,1,50,Patience;Loving and caring nature,10tr - 30tr
richard7111,30-45,Female,Getting Married,1,50,Responsibility and Carefulness;Communication skills,10tr - 30tr
stephanie8268,25-30,Male,Major Illness/Disability,0,20,Loving and caring nature;Communication skills;Responsibility and Carefulness,10tr - 30tr
nicole8857,50-60,Female,Retirement,1,23,Responsibility and Carefulness;Loving and caring nature,> 50tr
jeffery6504,25-30,Male,Major Illness/Disability,4,10,Loving and caring nature;Communication skills,30tr - 50tr
felicia4720,>60,Male,Getting Married,5,16,Loving and caring nature;Patience;Responsibility and Carefulness,< 10tr
stacey9657,>60,Male,Retirement,0,34,Loving and caring nature;Patience,10tr - 30tr
steven5844,>60,Male,Losing a Job,5,1,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
ricardo3583,30-45,Male,Getting Married,5,48,Communication skills;Responsibility and Carefulness,> 50tr
amber8001,30-45,Female,Major Illness/Disability,3,29,Loving and caring nature;Responsibility and Carefulness;Patience,30tr - 50tr
jodi7275,45-50,Female,Starting a Career,2,42,Loving and caring nature;Responsibility and Carefulness,< 10tr
daniel2946,>60,Female,Getting Married,4,8,Patience;Loving and caring nature;Communication skills,30tr - 50tr
linda5485,>60,Female,Major Illness/Disability,1,25,Patience;Responsibility and Carefulness,30tr - 50tr
samantha5571,>60,Female,Getting Married,3,50,Patience;Communication skills,> 50tr
stephanie1490,>60,Female,Major Illness/Disability,2,9,Patience;Communication skills,10tr - 30tr
suzanne6171,30-45,Female,Retirement,1,16,Communication skills;Loving and caring nature,> 50tr
jaclyn8897,45-50,Female,Retirement,4,28,Responsibility and Carefulness;Communication skills;Patience,30tr - 50tr
laura6259,50-60,Female,Retirement,1,19,Patience;Loving and caring nature;Responsibility and Carefulness,> 50tr
stephen6455,<25,Female,Major Illness/Disability,1,15,Patience;Loving and caring nature,30tr - 50tr
jeff9855,>60,Male,Getting Married,5,50,Patience;Responsibility and Carefulness;Loving and caring nature,> 50tr
sheila3151,45-50,Male,Major Illness/Disability,2,32,Communication skills;Loving and caring nature,10tr - 30tr
michael9051,>60,Male,Major Illness/Disability,5,39,Communication skills;Patience,> 50tr
donald5134,>60,Female,Retirement,1,28,Responsibility and Carefulness;Loving and caring nature;Communication skills,30tr - 50tr
justin8764,45-50,Male,Retirement,5,7,Loving and caring nature;Communication skills;Responsibility and Carefulness,> 50tr
timothy4640,>60,Female,Major Illness/Disability,0,11,Communication skills;Patience,> 50tr
diane3483,<25,Male,Getting Married,5,47,Responsibility and Carefulness;Patience;Communication skills,30tr - 50tr
katherine7140,25-30,Male,Retirement,3,35,Communication skills;Loving and caring nature;Responsibility and Carefulness,> 50tr
christopher8984,<25,Male,Losing a Job,1,20,Responsibility and Carefulness;Loving and caring nature;Patience,30tr - 50tr
william1132,25-30,Female,Starting a Career,5,38,Patience;Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
nicholas5864,50-60,Male,Starting a Career,5,35,Patience;Communication skills,> 50tr
scott9737,<25,Female,Losing a Job,1,7,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
lindsey2673,30-45,Male,Starting a Career,3,50,Responsibility and Carefulness;Loving and caring nature,> 50tr
jessica6713,>60,Female,Getting Married,5,10,Loving and caring nature;Responsibility and Carefulness,> 50tr
george7370,30-45,Female,Getting Married,1,25,Loving and caring nature;Responsibility and Carefulness;Patience,30tr - 50tr
donald6600,50-60,Female,Retirement,3,31,Patience;Communication skills;Responsibility and Carefulness,30tr - 50tr
jeremy8621,<25,Male,Major Illness/Disability,3,35,Responsibility and Carefulness;Patience;Loving and caring nature,> 50tr
dustin3358,>60,Female,Retirement,0,4,Patience;Communication skills;Loving and caring nature,> 50tr
kim1840,>60,Female,Major Illness/Disability,4,38,Communication skills;Patience;Loving and caring nature,10tr - 30tr
theresa9970,>60,Female,Retirement,1,9,Communication skills;Loving and caring nature,10tr - 30tr
andres6229,>60,Female,Retirement,2,50,Responsibility and Carefulness;Communication skills;Patience,30tr - 50tr
emily1563,<25,Female,Losing a Job,3,29,Communication skills;Loving and caring nature,> 50tr
eric2592,>60,Male,Losing a Job,5,14,Responsibility and Carefulness;Patience,> 50tr
lisa3365,>60,Female,Losing a Job,5,29,Patience;Loving and caring nature;Communication skills,10tr - 30tr
sean8147,30-45,Female,Retirement,2,8,Loving and caring nature;Patience,30tr - 50tr
sherry5924,<25,Female,Retirement,5,35,Patience;Responsibility and Carefulness;Communication skills,30tr - 50tr
sheri1623,<25,Male,Retirement,0,42,Loving and caring nature;Responsibility and Carefulness;Patience,> 50tr
allison1762,<25,Female,Retirement,3,24,Patience;Responsibility and Carefulness,> 50tr
jamie5568,25-30,Male,Losing a Job,2,30,Loving and caring nature;Patience,10tr - 30tr
richard9583,>60,Female,Losing a Job,0,31,Loving and caring nature;Communication skills;Responsibility and Carefulness,< 10tr
heather9260,>60,Female,Starting a Career,3,9,Loving and caring nature;Communication skills;Patience,30tr - 50tr
lauren5982,30-45,Male,Retirement,5,43,Responsibility and Carefulness;Patience;Communication skills,> 50tr
kevin2227,>60,Male,Getting Married,4,46,Patience;Loving and caring nature,< 10tr
eric1193,<25,Male,Losing a Job,2,5,Loving and caring nature;Responsibility and Carefulness;Communication skills,> 50tr
kyle6272,>60,Male,Losing a Job,1,44,Patience;Loving and caring nature;Responsibility and Carefulness,30tr - 50tr
stephanie5795,<25,Male,Starting a Career,4,40,Loving and caring nature;Responsibility and Carefulness,> 50tr
steven9017,<25,Male,Starting a Career,0,7,Responsibility and Carefulness;Patience;Loving and caring nature,> 50tr
sandra8803,<25,Female,Major Illness/Disability,0,46,Communication skills;Loving and caring nature;Patience,> 50tr
janice7983,25-30,Female,Losing a Job,0,45,Patience;Responsibility and Carefulness;Communication skills,< 10tr
todd3840,30-45,Male,Losing a Job,4,0,Responsibility and Carefulness;Communication skills;Patience,< 10tr
rose9496,>60,Female,Starting a Career,1,37,Patience;Communication skills;Responsibility and Carefulness,> 50tr
allison6374,>60,Male,Getting Married,0,18,Responsibility and Carefulness;Patience;Communication skills,> 50tr
evelyn2868,<25,Male,Getting Married,5,46,Loving and caring nature;Communication skills;Patience,30tr - 50tr
sandra6162,>60,Female,Losing a Job,1,31,Patience;Communication skills,> 50tr
benjamin5672,45-50,Male,Starting a Career,2,30,Loving and caring nature;Responsibility and Carefulness;Patience,30tr - 50tr
brady4036,>60,Male,Major Illness/Disability,5,16,Responsibility and Carefulness;Loving and caring nature,> 50tr
troy1266,>60,Female,Retirement,2,15,Communication skills;Patience,10tr - 30tr
kathy6541,<25,Male,Retirement,0,41,Responsibility and Carefulness;Communication skills,> 50tr
jared7057,<25,Male,Major Illness/Disability,3,35,Responsibility and Carefulness;Loving and caring nature;Patience,> 50tr
albert2346,>60,Male,Retirement,2,48,Responsibility and Carefulness;Loving and caring nature,> 50tr
kathleen1497,>60,Male,Retirement,2,43,Communication skills;Loving and caring nature,< 10tr
sarah1680,>60,Female,Losing a Job,3,31,Loving and caring nature;Communication skills;Patience,> 50tr
morgan3853,>60,Female,Starting a Career,3,25,Communication skills;Patience;Loving and caring nature,> 50tr
david3882,30-45,Female,Starting a Career,3,27,Loving and caring nature;Patience;Responsibility and Carefulness,10tr - 30tr
penny3168,50-60,Female,Getting Married,4,50,Patience;Loving and caring nature;Communication skills,30tr - 50tr
kaylee8320,50-60,Female,Major Illness/Disability,3,23,Loving and caring nature;Patience;Responsibility and Carefulness,10tr - 30tr
charles7727,>60,Male,Losing a Job,2,43,Patience;Communication skills,> 50tr
scott4697,<25,Male,Retirement,5,2,Communication skills;Loving and caring nature;Responsibility and Carefulness,> 50tr
marie8786,<25,Female,Retirement,5,1,Communication skills;Patience;Responsibility and Carefulness,10tr - 30tr
rebecca9177,30-45,Female,Getting Married,5,47,Loving and caring nature;Communication skills,< 10tr
lacey2842,>60,Female,Getting Married,2,9,Loving and caring nature;Communication skills;Patience,> 50tr
debbie5517,<25,Female,Losing a Job,2,47,Communication skills;Loving and caring nature;Responsibility and Carefulness,30tr - 50tr
emily3306,<25,Female,Getting Married,3,18,Responsibility and Carefulness;Communication skills;Patience,> 50tr
stephanie8376,>60,Female,Losing a Job,1,12,Communication skills;Patience,> 50tr
angela1148,<25,Female,Getting Married,1,7,Patience;Responsibility and Carefulness,> 50tr
susan6532,<25,Male,Getting Married,2,35,Loving and caring nature;Communication skills;Responsibility and Carefulness,> 50tr
nathan2867,>60,Female,Retirement,2,31,Communication skills;Responsibility and Carefulness;Loving and caring nature,> 50tr
joseph3322,>60,Female,Losing a Job,0,33,Communication skills;Responsibility and Carefulness,> 50tr
nathaniel5120,30-45,Male,Retirement,1,44,Patience;Responsibility and Carefulness;Communication skills,10tr - 30tr
eric5978,50-60,Male,Starting a Career,4,0,Responsibility and Carefulness;Patience,> 50tr
seth1374,>60,Female,Losing a Job,3,29,Responsibility and Carefulness;Patience,10tr - 30tr
sean7601,>60,Male,Starting a Career,3,38,Patience;Communication skills;Loving and caring nature,30tr - 50tr
anna9187,25-30,Female,Retirement,2,12,Loving and caring nature;Responsibility and Carefulness;Patience,> 50tr
linda3798,<25,Female,Starting a Career,1,25,Responsibility and Carefulness;Patience,> 50tr
robert4088,>60,Female,Retirement,2,5,Loving and caring nature;Patience,10tr - 30tr
lydia1086,>60,Female,Getting Married,0,13,Patience;Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
sara5253,>60,Male,Losing a Job,3,19,Communication skills;Patience;Loving and caring nature,10tr - 30tr
sara7865,30-45,Male,Retirement,3,27,Responsibility and Carefulness;Communication skills,> 50tr
jennifer2266,>60,Female,Retirement,3,3,Communication skills;Loving and caring nature;Responsibility and Carefulness,> 50tr
alicia9846,50-60,Female,Retirement,0,43,Communication skills;Responsibility and Carefulness;Patience,> 50tr
kristen4032,>60,Male,Retirement,4,39,Loving and caring nature;Responsibility and Carefulness;Patience,> 50tr
david8432,>60,Female,Losing a Job,4,37,Patience;Responsibility and Carefulness;Communication skills,30tr - 50tr
mark6218,30-45,Female,Getting Married,3,38,Patience;Communication skills;Loving and caring nature,> 50tr
crystal1893,30-45,Male,Starting a Career,1,13,Loving and caring nature;Communication skills;Responsibility and Carefulness,10tr - 30tr
connie9680,<25,Male,Retirement,0,16,Loving and caring nature;Patience;Communication skills,< 10tr
john9599,>60,Female,Major Illness/Disability,3,13,Responsibility and Carefulness;Patience;Communication skills,> 50tr
wayne5976,>60,Male,Getting Married,1,34,Communication skills;Loving and caring nature;Patience,> 50tr
courtney3498,>60,Female,Retirement,0,5,Responsibility and Carefulness;Patience;Loving and caring nature,10tr - 30tr
gary4772,>60,Female,Getting Married,1,3,Patience;Communication skills;Responsibility and Carefulness,> 50tr
david8753,30-45,Female,Losing a Job,0,34,Loving and caring nature;Responsibility and Carefulness,> 50tr
brent7198,<25,Male,Retirement,3,14,Patience;Communication skills,< 10tr
rhonda7059,>60,Male,Major Illness/Disability,3,44,Patience;Responsibility and Carefulness,10tr - 30tr
katie8528,50-60,Male,Getting Married,0,15,Loving and caring nature;Patience,< 10tr
bonnie4524,25-30,Male,Getting Married,5,11,Communication skills;Responsibility and Carefulness;Patience,> 50tr
jessica2606,>60,Female,Getting Married,2,24,Responsibility and Carefulness;Communication skills;Loving and caring nature,> 50tr
brian1689,<25,Male,Losing a Job,2,28,Loving and caring nature;Communication skills;Responsibility and Carefulness,30tr - 50tr
brittney7843,>60,Female,Getting Married,1,32,Responsibility and Carefulness;Patience;Communication skills,10tr - 30tr
dan5110,30-45,Female,Getting Married,0,36,Communication skills;Loving and caring nature;Responsibility and Carefulness,< 10tr
brianna5923,>60,Male,Losing a Job,3,3,Responsibility and Carefulness;Loving and caring nature,> 50tr
erik6580,30-45,Female,Major Illness/Disability,0,4,Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
roy1033,30-45,Male,Losing a Job,1,8,Communication skills;Responsibility and Carefulness;Patience,> 50tr
christopher3079,<25,Female,Getting Married,1,8,Patience;Loving and caring nature,> 50tr
laura2503,50-60,Male,Retirement,4,41,Loving and caring nature;Communication skills;Responsibility and Carefulness,10tr - 30tr
stephen1792,50-60,Female,Getting Married,2,5,Communication skills;Patience,10tr - 30tr
robert4991,>60,Female,Getting Married,3,1,Patience;Communication skills,10tr - 30tr
michael5711,<25,Female,Getting Married,4,17,Responsibility and Carefulness;Loving and caring nature;Patience,> 50tr
maria7263,<25,Female,Major Illness/Disability,1,7,Loving and caring nature;Responsibility and Carefulness,> 50tr
william2947,>60,Male,Major Illness/Disability,5,9,Communication skills;Patience;Loving and caring nature,> 50tr
bryan3315,50-60,Female,Retirement,2,31,Loving and caring nature;Communication skills;Patience,> 50tr
christine8588,<25,Male,Losing a Job,1,25,Communication skills;Patience,> 50tr
laura6698,>60,Male,Starting a Career,1,43,Loving and caring nature;Patience,> 50tr
lorraine4680,>60,Male,Retirement,1,21,Communication skills;Loving and caring nature,> 50tr
jacqueline6720,30-45,Male,Retirement,5,16,Responsibility and Carefulness;Communication skills;Patience,> 50tr
christopher5148,<25,Female,Starting a Career,2,9,Responsibility and Carefulness;Communication skills,> 50tr
tracey5301,50-60,Female,Major Illness/Disability,0,45,Communication skills;Responsibility and Carefulness,30tr - 50tr
phillip7914,<25,Male,Starting a Career,3,9,Communication skills;Loving and caring nature,> 50tr
danny5865,>60,Male,Retirement,3,1,Patience;Communication skills,< 10tr
cindy6339,45-50,Male,Major Illness/Disability,4,48,Patience;Communication skills;Responsibility and Carefulness,30tr - 50tr
denise7735,<25,Female,Retirement,2,32,Loving and caring nature;Patience,> 50tr
kevin4824,<25,Male,Losing a Job,3,40,Patience;Loving and caring nature,> 50tr
patricia6000,>60,Male,Losing a Job,0,21,Loving and caring nature;Communication skills,> 50tr
adam7292,>60,Male,Major Illness/Disability,2,36,Responsibility and Carefulness;Loving and caring nature,> 50tr
deanna8038,>60,Female,Losing a Job,4,48,Patience;Communication skills,> 50tr
marcia8519,>60,Female,Major Illness/Disability,5,31,Communication skills;Responsibility and Carefulness,> 50tr
lisa7943,30-45,Female,Losing a Job,5,38,Communication skills;Responsibility and Carefulness,30tr - 50tr
maria1799,>60,Female,Losing a Job,2,23,Communication skills;Loving and caring nature;Responsibility and Carefulness,10tr - 30tr
carl4970,25-30,Male,Starting a Career,4,35,Patience;Responsibility and Carefulness,30tr - 50tr
james4054,30-45,Male,Losing a Job,5,8,Communication skills;Patience;Responsibility and Carefulness,30tr - 50tr
nathan5064,50-60,Male,Starting a Career,0,11,Communication skills;Responsibility and Carefulness;Patience,10tr - 30tr
brian8143,50-60,Female,Major Illness/Disability,1,2,Loving and caring nature;Responsibility and Carefulness;Patience,> 50tr
nicholas9030,30-45,Male,Major Illness/Disability,5,13,Communication skills;Loving and caring nature;Patience,> 50tr
melissa1841,>60,Female,Starting a Career,4,40,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
crystal9732,>60,Male,Major Illness/Disability,1,24,Patience;Loving and caring nature,10tr - 30tr
jessica7194,>60,Female,Retirement,5,39,Responsibility and Carefulness;Loving and caring nature,> 50tr
joseph9081,45-50,Female,Losing a Job,0,22,Patience;Responsibility and Carefulness;Communication skills,> 50tr
ian6251,>60,Male,Getting Married,4,43,Loving and caring nature;Communication skills;Responsibility and Carefulness,> 50tr
jennifer3586,>60,Female,Retirement,1,24,Patience;Responsibility and Carefulness,10tr - 30tr
cesar3284,>60,Male,Starting a Career,5,27,Communication skills;Patience,> 50tr
lauren1866,>60,Male,Major Illness/Disability,3,49,Communication skills;Loving and caring nature;Patience,10tr - 30tr
frances5383,>60,Female,Major Illness/Disability,5,21,Communication skills;Loving and caring nature;Patience,> 50tr
jennifer1066,<25,Female,Losing a Job,4,26,Patience;Loving and caring nature;Responsibility and Carefulness,> 50tr
theresa8311,>60,Female,Major Illness/Disability,1,48,Patience;Loving and caring nature,30tr - 50tr
joseph1873,50-60,Male,Starting a Career,5,30,Loving and caring nature;Patience,10tr - 30tr
brian2003,>60,Female,Major Illness/Disability,3,27,Patience;Responsibility and Carefulness;Loving and caring nature,> 50tr
diane8233,30-45,Female,Retirement,1,34,Loving and caring nature;Communication skills,30tr - 50tr
charlene6132,<25,Male,Getting Married,4,0,Communication skills;Responsibility and Carefulness;Patience,< 10tr
lisa5838,25-30,Male,Losing a Job,4,50,Responsibility and Carefulness;Patience,< 10tr
michael1212,>60,Male,Starting a Career,3,20,Communication skills;Patience;Loving and caring nature,> 50tr
brandi5777,>60,Male,Losing a Job,2,47,Patience;Responsibility and Carefulness;Loving and caring nature,30tr - 50tr
luis4417,>60,Male,Starting a Career,1,20,Responsibility and Carefulness;Patience;Loving and caring nature,> 50tr
johnny4374,<25,Male,Major Illness/Disability,3,3,Communication skills;Responsibility and Carefulness,> 50tr
jose7075,>60,Male,Retirement,4,33,Communication skills;Responsibility and Carefulness;Patience,10tr - 30tr
gregory7355,45-50,Female,Retirement,2,46,Patience;Responsibility and Carefulness;Communication skills,> 50tr
joseph1990,>60,Female,Major Illness/Disability,3,41,Patience;Loving and caring nature;Responsibility and Carefulness,> 50tr
dylan3043,<25,Female,Losing a Job,4,22,Communication skills;Loving and caring nature,10tr - 30tr
brian2287,>60,Female,Starting a Career,4,2,Loving and caring nature;Communication skills;Patience,> 50tr
tanner9371,>60,Male,Major Illness/Disability,0,42,Loving and caring nature;Communication skills,10tr - 30tr
cheyenne8232,45-50,Male,Retirement,3,41,Responsibility and Carefulness;Patience;Loving and caring nature,30tr - 50tr
kelly3047,<25,Female,Losing a Job,5,17,Patience;Loving and caring nature;Communication skills,> 50tr
emily5417,>60,Male,Starting a Career,1,37,Patience;Responsibility and Carefulness,30tr - 50tr
kiara5721,>60,Female,Starting a Career,1,23,Communication skills;Responsibility and Carefulness;Loving and caring nature,> 50tr
bruce8151,>60,Female,Starting a Career,1,2,Communication skills;Loving and caring nature;Patience,> 50tr
dawn3964,30-45,Female,Major Illness/Disability,1,20,Communication skills;Patience,10tr - 30tr
stephen4081,45-50,Female,Major Illness/Disability,4,14,Responsibility and Carefulness;Loving and caring nature;Patience,> 50tr
nicholas5936,>60,Female,Major Illness/Disability,1,22,Responsibility and Carefulness;Communication skills,> 50tr
christopher8151,45-50,Female,Starting a Career,3,19,Responsibility and Carefulness;Communication skills,30tr - 50tr
steven1792,>60,Male,Getting Married,5,49,Communication skills;Patience,30tr - 50tr
sharon5299,<25,Male,Major Illness/Disability,4,24,Communication skills;Loving and caring nature;Responsibility and Carefulness,> 50tr
thomas1599,>60,Female,Retirement,2,31,Communication skills;Responsibility and Carefulness,> 50tr
jacob7455,50-60,Female,Starting a Career,4,26,Communication skills;Loving and caring nature,< 10tr
scott2991,>60,Female,Major Illness/Disability,1,5,Responsibility and Carefulness;Communication skills;Loving and caring nature,10tr - 30tr
charles6221,>60,Male,Starting a Career,1,31,Responsibility and Carefulness;Patience;Communication skills,10tr - 30tr
nicolas7134,>60,Female,Losing a Job,1,25,Loving and caring nature;Responsibility and Carefulness,> 50tr
kyle5813,>60,Female,Losing a Job,3,31,Communication skills;Loving and caring nature;Patience,< 10tr
amber5411,>60,Female,Losing a Job,4,39,Loving and caring nature;Communication skills;Patience,30tr - 50tr
victoria5307,>60,Male,Retirement,1,22,Patience;Communication skills,30tr - 50tr
deanna9653,>60,Male,Losing a Job,0,21,Patience;Communication skills,30tr - 50tr
heather7629,>60,Male,Major Illness/Disability,1,27,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
mark9815,<25,Male,Starting a Career,4,35,Patience;Responsibility and Carefulness,> 50tr
mary9018,30-45,Male,Starting a Career,0,7,Patience;Responsibility and Carefulness;Loving and caring nature,> 50tr
jared9109,>60,Male,Starting a Career,1,37,Responsibility and Carefulness;Patience;Loving and caring nature,< 10tr
kevin7249,<25,Male,Losing a Job,2,35,Loving and caring nature;Patience,> 50tr
laura3309,<25,Male,Starting a Career,5,1,Loving and caring nature;Communication skills,> 50tr
kristen1657,<25,Male,Starting a Career,4,17,Communication skills;Loving and caring nature;Patience,10tr - 30tr
jose3590,>60,Male,Losing a Job,2,27,Patience;Loving and caring nature;Communication skills,> 50tr
charlene6780,50-60,Male,Getting Married,0,50,Loving and caring nature;Responsibility and Carefulness;Communication skills,10tr - 30tr
timothy7320,50-60,Male,Starting a Career,3,45,Patience;Communication skills;Responsibility and Carefulness,30tr - 50tr
matthew3836,<25,Male,Losing a Job,4,42,Responsibility and Carefulness;Loving and caring nature,> 50tr
melissa7838,30-45,Female,Retirement,3,35,Patience;Loving and caring nature;Responsibility and Carefulness,> 50tr
heather5949,>60,Male,Losing a Job,0,13,Responsibility and Carefulness;Patience;Loving and caring nature,10tr - 30tr
scott5042,30-45,Female,Starting a Career,4,38,Communication skills;Patience;Loving and caring nature,< 10tr
rebecca8437,>60,Male,Getting Married,2,19,Patience;Responsibility and Carefulness;Communication skills,> 50tr
amanda8777,>60,Female,Major Illness/Disability,3,8,Loving and caring nature;Patience,< 10tr
brittany1734,>60,Female,Getting Married,3,41,Responsibility and Carefulness;Patience,> 50tr
mario3120,>60,Female,Retirement,3,40,Communication skills;Responsibility and Carefulness;Loving and caring nature,> 50tr
stacey1831,45-50,Male,Losing a Job,5,37,Loving and caring nature;Patience,< 10tr
ronald3008,>60,Male,Losing a Job,2,3,Communication skills;Loving and caring nature,> 50tr
heather2602,50-60,Female,Major Illness/Disability,0,4,Communication skills;Responsibility and Carefulness;Loving and caring nature,10tr - 30tr
kyle6725,30-45,Male,Getting Married,0,20,Loving and caring nature;Communication skills;Responsibility and Carefulness,> 50tr
nathan3239,45-50,Female,Losing a Job,5,41,Responsibility and Carefulness;Patience,10tr - 30tr
steven7259,>60,Female,Getting Married,3,0,Communication skills;Patience;Loving and caring nature,10tr - 30tr
brett7966,<25,Male,Getting Married,0,47,Loving and caring nature;Communication skills;Patience,> 50tr
justin4490,30-45,Female,Starting a Career,1,24,Communication skills;Patience,10tr - 30tr
morgan3124,<25,Female,Starting a Career,2,30,Communication skills;Responsibility and Carefulness,> 50tr
benjamin3374,30-45,Male,Starting a Career,3,45,Responsibility and Carefulness;Communication skills,> 50tr
timothy8263,30-45,Female,Retirement,1,37,Communication skills;Loving and caring nature;Patience,30tr - 50tr
jennifer7563,<25,Male,Starting a Career,5,7,Loving and caring nature;Patience;Communication skills,> 50tr
brandon3506,>60,Female,Losing a Job,1,11,Loving and caring nature;Patience;Communication skills,10tr - 30tr
lindsay2027,>60,Female,Starting a Career,3,6,Communication skills;Patience,> 50tr
william5050,>60,Male,Retirement,5,4,Patience;Responsibility and Carefulness;Communication skills,< 10tr
cheryl1433,>60,Female,Losing a Job,1,35,Patience;Communication skills,< 10tr
angela4598,50-60,Female,Retirement,1,38,Responsibility and Carefulness;Loving and caring nature;Patience,30tr - 50tr
amanda4983,<25,Male,Retirement,2,6,Loving and caring nature;Patience,> 50tr
adam8095,30-45,Female,Retirement,1,37,Responsibility and Carefulness;Patience,10tr - 30tr
brian8179,>60,Male,Retirement,2,4,Communication skills;Responsibility and Carefulness;Loving and caring nature,< 10tr
sara7561,>60,Female,Retirement,4,20,Loving and caring nature;Communication skills,30tr - 50tr
william4332,50-60,Female,Major Illness/Disability,2,29,Loving and caring nature;Patience;Communication skills,< 10tr
evan5353,>60,Female,Getting Married,5,9,Loving and caring nature;Patience;Responsibility and Carefulness,10tr - 30tr
phillip7742,45-50,Male,Retirement,1,46,Loving and caring nature;Responsibility and Carefulness;Communication skills,> 50tr
marc1784,>60,Female,Losing a Job,1,39,Patience;Loving and caring nature,10tr - 30tr
patrick9750,>60,Female,Retirement,2,4,Responsibility and Carefulness;Patience;Loving and caring nature,10tr - 30tr
joseph2796,>60,Male,Major Illness/Disability,5,50,Responsibility and Carefulness;Patience;Communication skills,30tr - 50tr
